No.001　 ティラ（提拉）
No.290　 フレアドラール（熾炎火焰龍）
No.291　 シャードラ（幼鯊龍）
No.292　 シャードラン（鯊魚龍）
No.293　 メガロドラン（巨型鯊魚龍）
No.294　 トイトプス（玩具三角幼龍）
No.295　 トイケラトプス（玩具三角龍）
No.296　 フォートトイトプス（堡壘三角龍）
No.297　 フェリオ（妖精幼龍）
No.298　 フェアリオン（妖精龍）
No.299　 エンジェリオン（天使妖精龍）
No.300　 ピエドラ（小丑龍）
No.301　 ピエドラウン（小丑龍王）
No.302　 ドラウンジョーカー（鬼牌小丑龍）
No.303　 ホノペンドラ（火企鵝幼龍）
No.304　 ルビペンドラ（紅寶石企鵝龍）
No.305　 ペンペンドラ（冰企鵝幼龍）
No.306　 サファペンドラ（藍寶石企鵝龍）
No.307　 ジュペンドラ（樹企鵝幼龍）
No.308　 エメペンドラ（綠寶石企鵝龍）
No.309　 超キングゴールドドラゴン（超級黃金龍王）
No.310　 氷のサムライオーガ（冰之武士食人魔）
No.311　 樹のサムライオーガ（樹之武士食人魔）
No.312　 炎のアイスオーガ（炎之冰食人魔）
No.313　 樹のアイスオーガ（樹之冰食人魔）
No.314　 炎のアーマーオーガ（炎之裝甲食人魔）
No.315　 氷のアーマーオーガ（冰之裝甲食人魔）
No.316　 炎の機神兵·ヨトゥン（炎之機神兵·約頓）
No.317　 水の機神兵·ミズガルズ（水之機神兵·米德加魯斯）
No.318　 木の機神兵·アースガル（木之機神兵·阿斯嘉魯）
No.319　 マシンゴーレムMk-III（機械魔像Mk-III）
No.320　 ダークゴーレムMk-III（黑暗魔像Mk-III）
No.321　 虹の番人（虹之守門人）
No.322　 蒼炎星·イフリート（蒼炎星·伊夫利特）
No.323　 碧炎星·イフリート（碧炎星·伊夫利特）
No.324　 輝炎星·イフリート（輝炎星·伊夫利特）
No.325　 黒炎星·イフリート（黑炎星·伊夫利特）
No.326　 紅氷星·リヴァイアサン（紅冰星·利維坦）
No.327　 碧氷星·リヴァイアサン（碧冰星·利維坦）
No.328　 輝氷星·リヴァイアサン（輝冰星·利維坦）
No.329　 黒氷星·リヴァイアサン（黑冰星·利維坦）
No.330　 紅樹星·ファフニール（紅樹星·法夫納）
No.331　 蒼樹星·ファフニール（蒼樹星·法夫納）
No.332　 輝樹星·ファフニール（輝樹星·法夫納）
No.333　 黒樹星·ファフニール（黑樹星·法夫納）
No.334　 紅光星·神龍（紅光星·神龍）
No.335　 蒼光星·神龍（蒼光星·神龍）
No.336　 碧光星·神龍（碧光星·神龍）
No.337　 黒光星·神龍（黑光星·神龍）
No.338　 紅闇星·ティアマット（紅暗星·迪亞馬特）
No.339　 蒼闇星·ティアマット（蒼暗星·迪亞馬特）
No.340　 碧闇星·ティアマット（碧暗星·迪亞馬特）
No.341　 輝闇星·ティアマット（輝暗星·迪亞馬特）
No.342　 ECO·サラマンダー（ECO·塞爾曼德）
No.343　 ECO·サラマンダー·アルマ（ECO·塞爾曼德·阿魯瑪）
No.344　 ECO·ぺペン（ECO·企鵝子）
No.345　 ECO·ぺペン·アルマ（ECO·企鵝子·阿魯瑪）
No.346　 ECO·シャボタン（ECO·仙人掌）
No.347　 ECO·シャボタン·アルマ（ECO·仙人掌·阿魯瑪）
No.348　 ECO·ベイビータイニー（ECO·泰迪寶寶）
No.349　 ECO·タイニー（ECO·泰迪）
No.350　 フォーミュラー（福繆拉）
No.351　 炎聖騎龍·フォーミュラー（炎聖騎龍·福繆拉）
No.352　 シャイターン（撒旦）
No.353　 怒りと炎の精霊·シャイターン（憤怒與炎的精靈·撒旦）
No.354　 ウンディーネ（溫蒂妮）
No.355　 愛と水の精霊·ウンディーネ（愛與水的精靈·溫蒂妮）
No.356　 シルフ（希爾芙）
No.357　 自由と風の精霊·シルフ（自由與風的精靈·希爾芙）
No.358　 ジーニャ（吉尼婭）
No.359　 富と光の精霊·ジーニャ（富與光的精靈·吉尼婭）
No.360　 タナトス（塔納托斯）
No.361　 死と闇の精霊·タナトス（死與暗的精靈·塔納托斯）
No.362　 オーディン（奧丁）
No.363　 覚醒オーディン（覺醒奧丁）
No.364　 秘神·オーディン（秘神·奧丁）
No.365　 覚醒秘神·オーディン（覺醒秘神·奧丁）
No.366　 プラン（普蘭）
No.367　 覚醒プラン（覺醒普蘭）
No.368　 フレイ（弗雷）
No.369　 勝利の神·フレイ（勝利之神·弗雷）
No.370　 イズン＆イズーナ（伊登＆伊茲娜）
No.371　 雙星の女神·イズン＆イズーナ（雙星女神·伊登＆伊茲娜）
No.372　 フレイヤ（芙蕾雅）
No.373　 大地の女神·フレイヤ（大地的女神·芙蕾雅）
No.374　 トール（托爾）
No.375　 雷の戦神·トール（雷之戰神·托爾）
No.376　 ロキ（洛基）
No.377　 狡知の神·ロキ（狡詐之神·洛基）
No.378　 ディノライダー（恐龍騎士）
No.379　 ディノライダー·ドレーク（恐龍騎士·德雷克）
No.380　 ビーストライダー（猛獸騎士）
No.381　 ビーストライダー·マーリン（猛獸騎士·梅林）
No.382　 マリンライダー（海獸騎士）
No.383　 マリンライダー·ロビン（海獸騎士·羅賓）
No.384　 ドラゴンライダー（龍騎乘士）
No.385　 ドラゴンライダー·アーサー（龍騎乘士·亞瑟）
No.386　 グリプスライダー（獅鷲騎士）
No.387　 グリプスライダー·フィン（獅鷲騎士·費恩）
No.388　 戦女神·セイントミネルヴァ（戰女神·神聖米涅瓦）
No.389　 戦女神·ダークミネルヴァ（戰女神·黑暗米涅瓦）
No.390　 海王神·ヘブンズネプチューン（海王神·天堂尼普頓）
No.391　 海王神·アビスネプチューン（海王神·深淵尼普頓）
No.392　 豊穣神·ホーリーセレス（豐收神·神聖瑟雷斯）
No.393　 豊穣神·イービルセレス（豐收神·邪惡瑟雷斯）
No.394　 慈愛神·コスモスヴィーナス（慈愛神·宇宙維納斯）
No.395　 慈愛神·カオスヴィーナス（慈愛神·混沌維納斯）
No.396　 冥界神·アークハーデス（冥界神·弧光哈帝斯）
No.397　 冥界神·インフェルノハーデス（冥界神·煉獄哈帝斯）
No.398　 フェニックス（菲尼克斯）
No.399　 転生の霊鳥·フェニックス（轉生的靈鳥·菲尼克斯）
No.400　 クラーケン（克拉肯）
No.401　 大洋の悪魔·クラーケン（大洋的惡魔·克拉肯）
No.402　 グリフォン（獅鷲）
No.403　 疾風の狩人·グリフォン（疾風的獵人·獅鷲）
No.404　 ユニコーン（獨角獸）
No.405　 聖女の守護獣·ユニコーン（聖女的守護獸·獨角獸）
No.406　 ケルベロス（可魯貝洛斯）
No.407　 地獄の番犬·ケルベロス（地獄的看門犬·可魯貝洛斯）
No.408　 究極炎龍·ムスプルヘイム（究極炎龍·穆斯貝爾海姆）
No.409　 究極氷龍·ニブルヘイム（究極冰龍·尼福爾海姆）
No.410　 究極島龍·ユグドラシル（究極島龍·尤克特拉希爾）
No.411　 究極機龍·ヴァルハラ（究極機龍·瓦爾哈拉）
No.412　 究極邪龍·ヘルヘイム（究極邪龍·赫爾海姆）
No.413　 蒼炎龍·ムスプルヘイム（蒼炎龍·穆斯貝爾海姆）
No.414　 ミツキ（美月）
No.415　 火の案內人·ミツキ（火之嚮導·美月）
No.416　 焔尾の天狐·ミツキ（焰尾的天狐·美月）
No.417　 ルカ（流香）
No.418　 水の案內人·ルカ（水之嚮導·流香）
No.419　 海洋の才女·ルカ（海洋的才女·流香）
No.420　 カノ（加乃）
No.421　 木の案內人·カノ（木之嚮導·加乃）
No.422　 森羅の神子·カノ（森羅的神子·加乃）
No.423　 フウ（楓）
No.424　 光の案內人·フウ（光之嚮導·楓）
No.425　 草原の舞姫·フウ（草原的舞姬·楓）
No.426　 クロネ（黑喵）
No.427　 闇の案內人·クロネ（暗之嚮導·黑喵）
No.428　 宵闇の貓又·クロネ（黃昏的貓妖·黑喵）
No.429　 クイーンメタルドラゴン（金屬龍王后）
No.430　 クイーンゴールドドラゴン（黃金龍王后）
No.431　 下仁田ネギ（下仁田蔥）
No.432　 超·下仁田ネギ（超·下仁田蔥）
No.433　 下仁田こんにゃく（下仁田蒟蒻）
No.434　 超·下仁田こんにゃく（超·下仁田蒟蒻）
No.435　 嬬戀キャベツ（嬬戀捲心菜）
No.436　 超·嬬戀キャベツ（超·嬬戀捲心菜）
No.437　 だるま（達摩）
No.438　 超·だるま（超·達摩）
No.439　 ぐんまけん（群馬縣）
No.440　 超·ぐんまけん（超·群馬縣）
No.441　 火の歴龍·アードベッグ（火之歴龍·雅柏）
No.442　 水の歴龍·ボウモア（水之歷龍·波摩）
No.443　 木の歴龍·ラガヴーリン（木之歷龍·拉加維林）
No.444　 光の歴龍·ラフロイグ（光之歷龍·拉弗格）
No.445　 闇の歴龍·カリラ（暗之歷龍·卡爾里拉）
No.446　 チョコボ（陸行鳥）
No.447　 竜騎士（竜騎士）
No.448　 最強裝備·竜騎士（最強裝備·竜騎士）
No.449　 バーサーカー（狂戰士）
No.450　 最強裝備·バーサーカー（最強裝備·狂戰士）
No.451　 弓使い（弓箭手）
No.452　 最強裝備·弓使い（最強裝備·弓箭手）
No.453　 ソルジャー（戰士）
No.454　 最強裝備·ソルジャー（最強裝備·戰士）
No.455　 黒魔道士（黑魔道士​​）
No.456　 最強裝備·黒魔道士（最強裝備·黑魔道士）
No.457　 時魔道士（時魔道士）
No.458　 最強裝備·時魔道士（最強裝備·時魔道士）
No.459　 シーフ（盜賊）
No.460　 最強裝備·シーフ（最強裝備·盜賊）
No.461　 ベヒーモス（貝希摩斯）
No.462　 アパンダ（亞潘達）
No.463　 モルボル（魔界花）
No.464　 モルボルキング（魔界花王）
No.465　 トンベリ（冬貝利）
No.466　 トンベリキング（冬貝利王）
No.467　 バハムート（巴哈姆特）
No.468　 究極召喚·バハムート（究極召喚·巴哈姆特）
No.469　 レッドクリスタル（紅水晶）
No.470　 ブルークリスタル（藍水晶）
No.471　 グリーンクリスタル（綠水晶）
No.472　 イエロークリスタル（黃水晶）
No.473　 パープルクリスタル（紫水晶）
No.474　 レインボークリスタル（彩虹水晶）
No.475　 火炎獄·パイロデーモン（​​火炎獄·火焰惡魔）
No.476　 氷結獄·フロストデーモン（​​冰結獄·冰霜惡魔）
No.477　 樹海獄·タウロスデーモン（​​樹海獄·牛頭惡魔）
No.478　 光天獄·ハーピィデーモン（​​光天獄·鷹身人惡魔）
No.479　 闇地獄·ブラッドデーモン（​​暗地獄·血之惡魔）
No.480　 爆炎龍·グランティラノス（爆炎龍·格蘭提拉諾斯）
No.481　 氷塊龍·デプスプレシオス（冰塊龍·海淵普萊修斯）
No.482　 大花龍·ガイアブラキオス（大花龍·蓋亞布拉秋斯）
No.483　 太陽龍·ソルプテラドス（太陽龍·索爾普提拉多斯）
No.484　 月光龍·ルナデスピナス（月光龍·露娜德斯皮納斯）
No.485　 スーパーキングゴールドネッキー（超級黃金尼奇王）
No.486　 ギャンブルメイジ（賭博魔術師）
No.487　 闇の勝負師·ギャンブルメイジ（暗之勝負師·賭博魔術師）
No.488　 クロノタートル（時空龜）
No.489　 時の伝道師·クロノタートル（時之傳道師·時空龜）
No.490　 ホルス（荷魯斯）
No.491　 炎隼神·ホルス（炎隼神·荷魯斯）
No.492　 イシス（伊西斯）
No.493　 聖海神·イシス（聖海神·伊西斯）
No.494　 バステト（芭絲特）
No.495　 愛貓神·バステト（愛貓神·芭絲特）
No.496　 ラー（拉）
No.497　 太陽神·ラー（太陽神·拉）
No.498　 アヌビス（阿努比斯）
No.499　 冥狼神·アヌビス（冥狼神·阿努比斯）
No.500　 ケリ姫（克莉公主）
No.501　 アン·パント·ケットバス（安·潘特·凱特巴斯）
No.502　 ガウガウ（嘎嗚嘎嗚）
No.503　 草原の主·ガウガウキング（草原之主·嘎嗚嘎嗚王）
No.504　 アザラシくん（海豹君）
No.505　 セイウチさん（海象桑）
No.506　 ゼリーエンジェル（果凍天使）
No.507　 ザ·ゼリーエンジェルズ（三合一果凍天使）
No.508　 バルーンペンペン（氣球企鵝）
No.509　 カイトペンペン（風箏企鵝）
No.510　 ギョロリ（眼魔）
No.511　 デイビルアイ（惡魔之眼）
No.512　 剛腕の巨人·ギガンテス（剛腕的巨人·癸幹忒斯）
No.513　 蒼覇王·カイゼルジークフリート（蒼霸王·齊格弗里德皇）
No.514　 大英雄·モアクーフーリン（大英雄·莫爾庫胡林）
No.515　 戦乙女·プリンセスヴァルキリー（戰乙女·瓦爾基里公主）
No.516　 魔王·ヴァンパイアロード（魔王·吸血鬼領主）
No.517　 プレゼントＢＯＸ（火）（禮物盒（火））
No.518　 プレゼントＢＯＸ（水）（禮物盒（水））
No.519　 プレゼントＢＯＸ（木）（禮物盒（木））
No.520　 ノエルドラゴン·ルージュ（聖誕龍·嫣紅）
No.521　 ノエルドラゴン·ブルー（聖誕龍·水藍）
No.522　 ノエルドラゴン·ヴェール（聖誕龍·翠綠）
No.523　 アカムギドラ（紅色小麥幼龍）
No.524　 アオムギドラ（藍色小麥幼龍）
No.525　 ミドムギドラ（綠色小麥幼龍）
No.526　 狩人（獵人）
No.527　 最強裝備·狩人（最強裝備·獵人）
No.528　 からくり士（機關士）
No.529　 最強裝備·からくり士（最強裝備·機關士）
No.530　 フェンサー（擊劍手）
No.531　 最強裝備·フェンサー（最強裝備·擊劍手）
No.532　 狩人【サンタ】（獵人【聖誕版】）
No.533　 最強裝備·狩人【サンタ】（最強裝備·獵人【聖誕版】）
No.534　 からくり士【サンタ】（機關士【聖誕版】）
No.535　 最強裝備·からくり士【サンタ】（最強裝備·機關士【聖誕版】）
No.536　 フェンサー【サンタ】（擊劍手【聖誕版】）
No.537　 最強裝備·フェンサー【サンタ】（最強裝備·擊劍手【聖誕版】）
No.538　 アレクサンター（亞力聖誕）
No.539　 究極召喚·アレクサ​​ンター（究極召喚·亞力聖誕）
No.540　 風林火山龍·シンゲン（風林火山龍·信玄）
No.541　 毘沙門龍·ケンシン（毘沙門龍·謙信）
No.542　 獨眼竜·マサムネ（獨眼龍·政宗）
No.543　 太閤龍·ヒデヨシ（太閤龍·秀吉）
No.544　 第六天魔龍·ノブナガ（第六天魔龍·信長）
No.545　 火の下忍（火之下忍）
No.546　 火の中忍（火之中忍）
No.547　 水の下忍（水之下忍）
No.548　 水の中忍（水之中忍）
